City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kristiansund,63.1115,7.732,43.45,49,3,14.97,NO,1706577027
whitehorse,60.7161,-135.0538,39.97,84,75,20.71,CA,1706576776
aasiaat,68.7098,-52.8699,-15.14,96,100,4.7,GL,1706577027
anadyr,64.75,177.4833,-30.5,75,20,11.18,RU,1706577028
suntar,62.1444,117.6319,-40.63,100,60,3.13,RU,1706577028
kidal,18.4411,1.4078,63.82,18,0,12.93,ML,1706577028
spring creek,40.7266,-115.5859,47.89,84,5,3.33,US,1706577028
benghazi,32.1167,20.0667,53.15,70,48,10.29,LY,1706577028
agde,43.3108,3.4758,55.89,93,100,8.05,FR,1706577029
salekhard,66.53,66.6019,-12.12,100,100,4.79,RU,1706577029
arar,30.9753,41.0381,48.22,46,0,5.75,SA,1706577029
rongelap,11.1635,166.8941,79.25,78,74,16.55,MH,1706577029
klyuchi,52.2667,79.1667,-0.11,97,82,6.64,RU,1706577029
selfoss,63.9331,-20.9971,30.04,73,100,25.84,IS,1706577029
forked river,39.8398,-74.1901,39.11,72,100,5.75,US,1706577030
aykhal,66.0,111.5,-12.69,100,98,2.37,RU,1706577030
saint-francois,46.4154,3.9054,42.66,93,100,3.44,FR,1706577030
hafar al-batin,28.4328,45.9708,54.18,54,0,14.97,SA,1706577030
soc trang,9.6033,105.98,79.48,67,41,14.03,VN,1706577030
yuzhno-kurilsk,44.0306,145.8556,33.37,77,28,3.78,RU,1706577031
emerald,-23.5333,148.1667,86.34,76,100,5.23,AU,1706577031
batang,-6.4846,110.7083,82.35,79,95,6.38,ID,1706577031
codrington,-38.2667,141.9667,68.59,51,0,11.43,AU,1706577031
georgetown,5.4112,100.3354,81.95,74,20,6.91,MY,1706577031
antalaha,-14.9003,50.2788,75.13,91,97,6.64,MG,1706577031
labytnangi,66.6572,66.4183,-12.86,100,100,3.71,RU,1706577032
kupjansk,49.7209,37.5998,25.23,92,100,7.29,UA,1706577032
east london,-33.0153,27.9116,75.85,79,67,21.03,ZA,1706577032
vorgashor,67.5833,63.95,2.61,92,100,13.73,RU,1706577032
aras-asan,8.8908,126.3033,78.71,88,100,13.38,PH,1706577032
auki,-8.7676,160.7034,79.72,89,100,12.75,SB,1706577033
freetown,8.484,-13.2299,77.97,79,100,6.17,SL,1706577033
darwin,-12.4611,130.8418,73.38,100,100,4.61,AU,1706577033
ceerigaabo,10.6162,47.368,59.49,79,27,3.4,SO,1706577033
alderetes,-26.8167,-65.1333,75.11,83,0,5.75,AR,1706577033
bubaque,11.2833,-15.8333,78.33,68,34,9.73,GW,1706577034
port alfred,-33.5906,26.891,70.18,94,100,8.01,ZA,1706577034
dedza,-14.3779,34.3332,56.17,83,10,1.92,MW,1706577034
charters towers,-20.1,146.2667,93.9,46,91,8.59,AU,1706577034
mthatha,-31.5889,28.7844,71.69,70,15,5.08,ZA,1706577034
okhotsk,59.3833,143.3,-10.19,81,44,8.12,RU,1706577035
inhambane,-23.865,35.3833,75.04,88,13,6.13,MZ,1706577035
bochum,51.4833,7.2167,48.74,69,100,4.97,DE,1706577035
iskateley,67.6803,53.1512,23.02,91,100,25.99,RU,1706577035
linares,-35.85,-71.6,70.63,28,2,5.97,CL,1706577035
waingapu,-9.6567,120.2641,84.18,67,99,5.55,ID,1706577035
chonchi,-42.6128,-73.8092,59.32,74,100,1.1,CL,1706577036
kupang,-10.1667,123.5833,86.58,84,40,12.66,ID,1706576946
lihue,21.9789,-159.3672,81.99,65,0,20.71,US,1706577036
haiku-pauwela,20.9219,-156.3051,80.17,71,40,18.41,US,1706577036
weno,7.4515,151.8468,80.55,94,100,12.66,FM,1706577036
nemuro,43.3236,145.575,32.38,78,12,5.91,JP,1706577036
basco,20.4487,121.9702,73.42,71,100,21.65,PH,1706577037
gamba,-2.65,10.0,78.91,89,100,2.82,GA,1706577037
palafrugell,41.9174,3.1631,54.43,92,100,1.01,ES,1706577037
severo-yeniseyskiy,60.3725,93.0408,-21.42,98,41,4.0,RU,1706577037
cidreira,-30.1811,-50.2056,70.79,88,3,4.7,BR,1706577037
uige,-7.6087,15.0613,67.21,95,100,1.21,AO,1706577038
papatowai,-46.5619,169.4708,65.28,70,99,12.59,NZ,1706577038
albert,50.0009,2.651,50.07,88,0,8.05,FR,1706577038
abu al matamir,30.9102,30.1744,51.57,56,54,14.85,EG,1706577038
hamilton,39.1834,-84.5333,36.84,84,100,6.91,US,1706576988
marand,38.4329,45.7749,26.29,92,100,3.04,IR,1706577039
ayaviri,-14.8864,-70.5889,46.58,91,100,0.89,PE,1706577039
mejit,10.2753,170.8646,78.85,79,100,18.05,MH,1706577039
ta`u,-14.2336,-169.5144,84.15,77,72,8.43,AS,1706577039
kodiak,57.79,-152.4072,8.11,47,0,14.97,US,1706577039
machico,32.7,-16.7667,66.0,82,20,4.61,PT,1706577040
bandar abbas,27.1865,56.2808,55.38,71,0,4.61,IR,1706577040
zapata,26.9073,-99.2714,64.51,32,0,0.0,US,1706576758
fukuecho,32.6881,128.8419,49.51,57,100,1.92,JP,1706577040
howrah,22.5892,88.3103,60.8,88,20,3.44,IN,1706577040
dombarovskiy,50.7587,59.5386,-6.0,100,57,1.99,RU,1706577041
altay,47.8667,88.1167,3.38,69,16,5.99,CN,1706577041
sanming,26.2486,117.6186,58.98,90,47,0.22,CN,1706576924
kingston,17.997,-76.7936,79.75,79,40,0.0,JM,1706576794
mezhdurechenskiy,59.6,65.9333,-10.48,100,100,3.87,RU,1706577041
saudarkrokur,65.7461,-19.6394,26.92,87,82,9.46,IS,1706577042
novo aripuana,-5.1206,-60.3797,74.01,95,96,2.08,BR,1706577042
enewetak,11.3474,162.3373,79.32,54,1,11.03,MH,1706577042
santa terezinha,-29.9002,-50.0904,70.97,88,6,3.56,BR,1706577042
cabo san lucas,22.8909,-109.9124,79.9,47,100,9.22,MX,1706576805
sufalat sama'il,23.3167,58.0167,65.88,69,77,4.21,OM,1706577042
peniche,39.3558,-9.3811,54.45,95,64,7.58,PT,1706577043
jayapura,-2.5333,140.7,87.19,70,100,1.97,ID,1706577043
tocache,-8.1842,-76.5125,74.1,94,87,1.01,PE,1706577043
kittila,67.6647,24.8936,32.14,69,0,18.41,FI,1706577043
conception bay south,47.4999,-52.9981,24.75,95,100,29.75,CA,1706577043
puerto aysen,-45.4,-72.7,54.91,88,100,3.74,CL,1706577043
mariental,-24.6333,17.9667,74.16,51,98,2.26,NA,1706577044
bakanas,44.8081,76.2772,22.05,94,100,5.88,KZ,1706577044
elsterberg,50.6084,12.1679,41.94,79,55,3.0,DE,1706577044
campbell river,50.0163,-125.2446,50.59,99,100,7.61,CA,1706576885
port moresby,-9.4431,147.1797,88.3,61,18,9.86,PG,1706576927
bone south,16.2446,120.9958,70.81,65,1,5.7,PH,1706577045
kroya,-7.6331,109.2461,81.27,79,100,3.29,ID,1706577045
cullowhee,35.3137,-83.1765,39.31,82,0,5.75,US,1706577045
springfield,37.2153,-93.2982,49.89,73,0,4.61,US,1706577015
puerto maldonado,-12.6,-69.1833,75.72,97,100,1.79,PE,1706577045
saint croix,17.7397,-64.7388,73.96,84,40,4.61,VI,1706577045
changli,39.7042,119.1506,25.38,72,100,5.41,CN,1706577046
pombas,17.1503,-25.0201,69.58,72,100,10.02,CV,1706577046
bairnsdale,-37.8333,147.6167,71.06,75,89,1.99,AU,1706577046
fortaleza,-3.7227,-38.5247,86.07,87,0,11.5,BR,1706576972
lesosibirsk,58.2358,92.4828,-7.1,84,6,8.05,RU,1706577046
vilyuchinsk,52.9306,158.4028,8.87,77,100,6.53,RU,1706577047
sur,22.5667,59.5289,72.86,75,100,5.28,OM,1706577047
baruun-urt,46.6806,113.2792,-17.97,97,100,4.85,MN,1706577047
duck lake,52.8168,-106.2344,29.37,86,100,8.81,CA,1706577047
thai binh,20.45,106.3333,60.85,81,100,2.62,VN,1706577047
vadso,70.0744,29.7487,32.88,80,20,39.12,NO,1706577047
dubovskoye,47.4092,42.7575,17.98,95,11,5.39,RU,1706577048
borkum,53.5809,6.6915,44.55,94,100,11.45,DE,1706577048
adrar,20.5022,-10.0711,60.89,15,0,10.63,MR,1706577048
lata,40.1629,-8.3327,50.07,82,39,3.83,PT,1706577048
arraial do cabo,-22.9661,-42.0278,76.24,89,7,3.98,BR,1706577048
fallon,39.4735,-118.7774,57.92,63,75,9.22,US,1706577048
la rinconada,37.4873,-5.9826,53.06,89,6,4.7,ES,1706577049
labrador city,52.9463,-66.9114,-23.82,65,5,2.24,CA,1706577049
nar'yan-mar,67.6713,53.087,23.11,91,100,25.99,RU,1706577049
namsos,64.4662,11.4957,42.85,87,100,14.97,NO,1706577049
paka,4.6374,103.4368,77.56,87,63,7.47,MY,1706577049
pudasjarvi,65.3833,26.9167,34.07,84,100,16.08,FI,1706577005
inirida,3.8653,-67.9239,82.36,68,100,2.86,CO,1706577050
khandyga,62.6667,135.6,-47.76,98,73,1.95,RU,1706577050
olyokminsk,60.3736,120.4264,-36.02,100,92,2.42,RU,1706577050
vila franca do campo,37.7167,-25.4333,64.89,99,24,15.37,PT,1706577050
nieuw nickerie,5.95,-56.9833,79.09,82,41,12.12,SR,1706577050
pionerskiy,54.9508,20.2275,37.15,74,100,15.35,RU,1706577051
pontecagnano,40.6425,14.8735,50.52,77,0,8.01,IT,1706577051
sena madureira,-9.0656,-68.6569,75.56,96,96,2.62,BR,1706577051
kapa'a,22.0752,-159.319,82.72,65,0,20.71,US,1706577051
grand-popo,6.2804,1.8225,80.01,76,0,6.98,BJ,1706577051
kholmsk,47.0511,142.0569,23.49,81,99,11.43,RU,1706577051
kapit,2.0167,112.9333,76.75,96,100,0.96,MY,1706577052
rio preto da eva,-2.6994,-59.6997,80.91,76,87,2.33,BR,1706577052
egilsstadir,65.2653,-14.3948,39.94,81,100,19.93,IS,1706577052
santa cruz,-17.8,-63.1667,78.26,89,75,2.3,BO,1706577052
douglas,41.3,-96.167,42.78,79,40,11.5,US,1706577052
igarka,67.4667,86.5833,-8.25,81,100,13.85,RU,1706577053
acapulco de juarez,16.8634,-99.8901,82.22,74,100,3.44,MX,1706577013
tateyama,34.9833,139.8667,52.11,63,10,10.63,JP,1706577053
cowansville,45.2001,-72.7491,27.75,94,14,3.42,CA,1706577053
castillos,-34.1667,-53.8333,65.44,83,0,5.23,UY,1706577053
cananeia,-25.0147,-47.9267,74.93,88,44,1.66,BR,1706577054
ndioum,16.5129,-14.6471,72.36,13,100,9.46,SN,1706577054
polyarnyy,69.1989,33.4478,32.41,74,100,34.67,RU,1706577054
shubarshi,48.5872,57.1869,4.06,92,92,7.16,KZ,1706577054
karachayevsk,43.774,41.9142,19.9,86,39,2.95,RU,1706577054
bikenibeu village,1.3673,173.1241,89.56,70,75,11.5,KI,1706577054
zambezi,-13.5432,23.1047,67.68,87,14,3.18,ZM,1706577055
las lomitas,-24.7096,-60.593,82.35,35,0,4.52,AR,1706577055
sarnia,42.9787,-82.4041,32.92,85,100,5.01,CA,1706577001
toulepleu guere,6.574,-8.4259,69.4,83,29,2.62,CI,1706577055
lompoc,34.6391,-120.4579,70.02,54,55,3.98,US,1706577055
palikir - national government center,6.9248,158.1611,83.25,84,100,12.66,FM,1706576820
mil'kovo,55.6078,37.7956,30.69,86,100,13.67,RU,1706577056
fort st. john,56.2499,-120.8529,32.54,88,69,4.54,CA,1706577056
maler kotla,30.5167,75.8833,46.0,49,0,5.06,IN,1706577056
candido mendes,-1.4467,-45.7167,77.58,91,100,3.62,BR,1706577056
twon-brass,4.3151,6.2418,80.06,81,96,8.37,NG,1706577057
sosua,19.7667,-70.5167,76.98,88,40,0.0,DO,1706577057
asheboro,35.7079,-79.8136,46.02,49,0,4.61,US,1706577057
tabou,4.423,-7.3528,80.06,80,72,6.13,CI,1706577057
abeche,13.8292,20.8324,65.57,22,9,10.25,TD,1706577057
nuuk,64.1835,-51.7216,2.01,60,40,17.27,GL,1706576820
jabat,7.75,168.9751,80.24,81,100,21.45,MH,1706577058
galliano,29.4422,-90.2992,55.99,67,5,4.63,US,1706577058
al muwayh,22.4333,41.7583,57.81,67,100,8.63,SA,1706577058
sandnessjoen,66.0217,12.6316,41.52,87,100,31.16,NO,1706577058
akureyri,65.6835,-18.0878,26.46,89,95,8.84,IS,1706577058
zanjan,36.6736,48.4787,28.35,82,99,6.17,IR,1706577058
katsuura,35.1333,140.3,50.63,59,4,7.02,JP,1706577059
kerikeri,-35.2268,173.9474,74.23,61,95,4.56,NZ,1706577059
kish,26.5578,54.0194,71.96,49,63,15.66,IR,1706577059
kulhudhuffushi,6.6221,73.07,81.03,71,63,8.39,MV,1706577059
wanning,18.8003,110.3967,70.23,89,100,4.38,CN,1706577059
udaipur,24.5712,73.6918,50.9,40,100,2.91,IN,1706577059
kongolo,-5.3833,27.0,67.86,96,100,0.63,CD,1706577060
zhaqsy,51.9083,67.3133,-9.54,100,100,4.21,KZ,1706577060
hirara,24.8,125.2833,70.02,69,50,18.21,JP,1706577060
new norfolk,-42.7826,147.0587,73.92,20,0,4.0,AU,1706577060
tralee,52.2704,-9.7026,38.71,80,46,0.98,IE,1706577060
north platte,41.1239,-100.7654,49.98,68,17,4.0,US,1706577061
la passe,45.5549,-0.8967,52.03,90,100,9.71,FR,1706577061
paita,-5.0892,-81.1144,75.07,85,98,14.41,PE,1706577061
santiago tulantepec,20.0333,-98.35,47.88,90,100,3.42,MX,1706577061
calama,-22.4667,-68.9333,63.64,47,0,6.4,CL,1706577061
prince rupert,54.3161,-130.3201,50.09,81,100,6.91,CA,1706577011
ain arnat,36.1868,5.3135,46.54,70,79,3.36,DZ,1706577062
aioun,16.6614,-9.6149,64.69,15,0,10.63,MR,1706577062
bo rai,12.5728,102.5371,78.31,60,43,4.56,TH,1706577062
fort bragg,35.139,-79.006,49.82,52,0,0.0,US,1706577062
chibougamau,49.9168,-74.3659,-1.35,93,72,5.97,CA,1706577063
kenai,60.5544,-151.2583,9.09,81,100,28.77,US,1706577057
guajara mirim,-10.7828,-65.3394,76.89,88,98,3.09,BR,1706577063
uturoa,-16.7333,-151.4333,83.95,74,18,5.79,PF,1706577063
manokwari,-0.8667,134.0833,82.96,75,91,7.94,ID,1706577063
minot air force base,48.4209,-101.3391,37.58,80,0,8.05,US,1706577063
alice springs,-23.7,133.8833,99.21,13,6,12.66,AU,1706577064
kambar,27.5868,68.001,61.38,29,100,3.51,PK,1706577064
santa elena de uairen,4.6167,-61.1333,74.91,53,100,1.72,VE,1706577064
kill devil hills,36.0307,-75.676,45.99,74,40,12.66,US,1706577064
kabalo,-6.05,26.9167,69.44,99,100,2.39,CD,1706577065
galle,6.0367,80.217,75.7,90,100,5.93,LK,1706577065
xining,36.6167,101.7667,21.85,31,40,1.25,CN,1706577065
tocopilla,-22.092,-70.1979,73.38,76,28,10.07,CL,1706577065
tolanaro,-25.0319,46.9987,72.41,82,2,7.45,MG,1706577066
richards bay,-28.783,32.0377,73.45,84,24,10.18,ZA,1706577066
parabel',58.6978,81.4825,-3.08,100,93,4.0,RU,1706577066
pemba,-12.974,40.5178,78.03,84,99,6.13,MZ,1706577066
sao joao da barra,-21.6403,-41.0511,75.6,95,100,8.19,BR,1706577067
berdigestyakh,62.0989,126.6992,-38.29,100,87,3.65,RU,1706577067
kitwe,-12.7961,28.2477,62.08,95,21,2.57,ZM,1706577067
mount isa,-20.7333,139.5,87.57,62,100,8.05,AU,1706577067
cole harbour,44.6724,-63.4751,20.97,83,100,10.0,CA,1706577067
margate,51.3813,1.3862,51.87,86,100,11.01,GB,1706576998
rawson,-43.3002,-65.1023,66.24,58,94,9.1,AR,1706577068
guru har sahai,30.7167,74.4167,47.79,49,0,2.55,IN,1706576777
rahimatpur,17.6,74.2,64.42,47,100,1.32,IN,1706577068
alta,69.9689,23.2717,34.86,70,31,20.71,NO,1706577068
leticia,-4.2153,-69.9406,80.65,100,20,2.3,CO,1706577068
keflavik,64.0049,-22.5624,30.63,86,75,33.38,IS,1706577069
ascencion,31.1,-107.9833,60.49,33,100,6.06,MX,1706577069
waddan,29.1614,16.139,54.36,47,97,11.16,LY,1706577069
mancha real,37.7863,-3.6123,48.72,76,100,0.67,ES,1706577069
